x,under_y,theta,distance
0,19,-32.421384375,77.91761794316943
0,20,-32.413125,74.82018336620433
0,21,-32.40807187499999,71.88830792601266
0,22,-32.406225,69.11311608083935
0,23,-32.407584375,66.4861094297055
0,24,-32.412150000000004,63.99915559597712
0,25,-32.419921875,61.64447736735115
0,26,-32.4309,59.4146420855107
0,27,-32.445084375,57.30255127881997
0,28,-32.462475000000005,55.30143053152903
0,29,-32.483071875,53.40481958307566
0,30,-32.506875,51.60656265117722
0,31,-32.533884375,49.90079897251382
0,32,-32.5641,48.28195355491584
0,33,-32.597521875,46.74472813507514
0,34,-32.63415,45.284092335909
0,35,-32.673984374999996,43.89527501781469
0,36,-32.71702500000001,42.57375581816296
0,37,-32.763271874999994,41.31525687348448
0,38,-32.812725,40.11573471891625
0,39,-32.865384375,38.97137235958291
0,40,-32.92124999999999,37.87857150869592
0,41,-32.980321875,36.833944987269994
0,42,-33.0426,35.83430928045606
0,43,-33.108084375000004,34.876677245614296
0,44,-33.176775,33.958250967349834
0,45,-33.248671875,33.07641475485536
0,46,-33.323775000000005,32.22872827701132
0,47,-33.402084375,31.412919830811283
0,48,-33.4836,30.62687973879252
0,49,-33.568321875,29.868653871266524
0,50,-33.65625,29.13643728926302
0,51,-33.747384374999996,28.428568004210852
0,52,-33.841725,27.743520850505057
0,53,-33.939271874999996,27.07990146722124
0,54,-34.040025,26.436440385362452
0,55,-34.143984374999995,25.811987217140107
0,56,-34.251149999999996,25.205504943918548
0,57,-34.361521875,24.616064299569324
0,58,-34.4751,24.04283824611158
0,59,-34.591884375,23.485096538637
0,60,-34.711875,22.942200376647
0,61,-34.835071875,22.413597139059767
0,62,-34.961475,21.898815200271237
0,63,-35.091084375,21.397458824793425
0,64,-35.2239,20.909203138118777
0,65,-35.359921875,20.433789171603415
0,66,-35.49914999999999,19.971018979294264
0,67,-35.641584375,19.520750824767063
0,68,-35.787225,19.08289443618296
0,69,-35.936071874999996,18.65740632791873
0,70,-36.088125,18.24428518726382
0,71,-36.243384375,17.84356732483817
0,72,-36.40185,17.45532218752077
0,73,-36.563521875,17.079647932847443
0,74,-36.7284,16.71666706397732
0,75,-36.89648437499999,16.366522124500044
0,76,-37.067775000000005,16.029371452504755
0,77,-37.242271875,15.70538499350348
0,78,-37.419975,15.3947401719684
0,79,-37.60088437499999,15.097617821404008
0,80,-37.785,14.814198173061634
0,81,-37.972321875,14.544656903567391
0,82,-38.16285,14.289161241921017
0,83,-38.356584375,14.047866136504346
0,84,-38.553525,13.82091048292613
0,85,-38.753671874999995,13.60841341371377
0,86,-38.957024999999994,13.410470651064308
0,87,-39.163584375,13.227150924059394
0,88,-39.373349999999995,13.05849245195099
0,89,-39.586321875,12.904499495331828
0,90,-39.802499999999995,12.765138977211102
0,91,-40.021884375,12.64033717623169
0,92,-40.244475,12.529976494483089
0,93,-40.470271875,12.433892302588896
0,94,-40.699275,12.351869864965686
0,95,-40.931484375,12.283641348397502
0,96,-41.1669,12.228882917292474
0,97,-41.405521875,12.187211919234862
0,98,-41.64735,12.158184164698234
0,99,-41.892384375,12.141291305026918
0,100,-42.14062499999999,12.135958313062922
0,101,-42.392071875,12.141541071036947
0,102,-42.646725,12.15732407064501
0,103,-42.90458437499999,12.18251823046807
0,104,-43.16564999999999,12.216258836196625
0,105,-43.429921875,12.257603609407674
0,106,-43.697399999999995,12.305530910917687
0,107,-43.968084375,12.358938085048289
0,108,-44.241975,12.416639951447443
0,109,-44.519071874999995,12.477367451403772
0,110,-44.799375,12.53976645593297
0,111,-45.082884375,12.602396743223146
0,112,-45.3696,12.66373115336068
0,113,-45.659521875,12.72215492861516
0,114,-45.95265,12.775965247881452
0,115,-46.248984375,12.823370964248165
0,116,-46.548525,12.86249255503457
0,117,-46.851271874999995,12.891362293976492
0,118,-47.157225,12.907924655648223
0,119,-47.466384375,12.910036962595989
0,120,-47.77875,12.895470286011223
0,121,-48.094321875,12.86191061124429
1,19,-31.98909925,76.87603260190298
1,20,-31.98095,73.82206472964555
1,21,-31.975964249999993,70.93158933227932
1,22,-31.974142,68.19582177080594
1,23,-31.97548325,65.60635068656853
1,24,-31.979988,63.15512702726971
1,25,-31.98765625,60.834453324194946
1,26,-31.998488,58.636973214038896
1,27,-32.012483249999995,56.55566119883763
1,28,-32.029642,54.583812637613384
1,29,-32.04996425,52.71503396344644
1,30,-32.07345,50.94323311979013
1,31,-32.10009925,49.262610209954794
1,32,-32.129912000000004,47.66764835378523
1,33,-32.162888249999995,46.153104745667115
1,34,-32.199028,44.714001908098275
1,35,-32.23833125,43.34561913516682
1,36,-32.280798000000004,42.043484120383816
1,37,-32.32642825,40.803364763422216
1,38,-32.375222,39.62126115041831
1,39,-32.42717925,38.49339770259939
1,40,-32.482299999999995,37.41621548810467
1,41,-32.54058425,36.38636469197393
1,42,-32.602032,35.40069723938347
1,43,-32.66664325000001,34.45625956731737
1,44,-32.734418,33.55028553996663
1,45,-32.80535625,32.68018950325949
1,46,-32.87945800000001,31.843559474031387
1,47,-32.95672325,31.038150459453696
1,48,-33.037152,30.2618779024504
1,49,-33.12074425,29.512811248939094
1,50,-33.2075,28.789167632847946
1,51,-33.29741925,28.089305674967072
1,52,-33.390502,27.411719391811168
1,53,-33.48674825,26.75503221077755
1,54,-33.586158,26.11799108800451
1,55,-33.68873125,25.49946072544528
1,56,-33.794468,24.898417883793165
1,57,-33.90336825,24.313945788010308
1,58,-34.015432000000004,23.745228622330863
1,59,-34.13065925,23.191546111731007
1,60,-34.24905,22.65226818697922
1,61,-34.37060425,22.126849730504567
1,62,-34.495322,21.614825400443927
1,63,-34.62320325,21.115804530357245
1,64,-34.754248,20.629466102225543
1,65,-34.888456250000004,20.1555537904784
1,66,-35.025828,19.693871074928445
1,67,-35.16636325,19.244276420621222
1,68,-35.310062,18.806678522747227
1,69,-35.45692425,18.381031614898795
1,70,-35.606950000000005,17.96733083909384
1,71,-35.76013925,17.565607676126497
1,72,-35.916492000000005,17.175925434955836
1,73,-36.07600825,16.798374799981083
1,74,-36.238688,16.43306943520556
1,75,-36.40453125,16.080141644441163
1,76,-36.573538000000006,15.73973808685465
1,77,-36.74570825,15.41201554731969
1,78,-36.921042,15.097136761189285
1,79,-37.09953925,14.795266293272412
1,80,-37.281200000000005,14.50656647095314
1,81,-37.46602425,14.231193371570091
1,82,-37.654012,13.969292864330209
1,83,-37.84516325,13.720996707216608
1,84,-38.039478,13.486418699519554
1,85,-38.23695625,13.26565089079849
1,86,-38.437598,13.058759847275034
1,87,-38.64140325,12.86578297683257
1,88,-38.848372,12.686724913997516
1,89,-39.05850425,12.521553966462356
1,90,-39.2718,12.370198624923198
1,91,-39.488259250000006,12.23254413818858
1,92,-39.707882000000005,12.108429155735386
1,93,-39.93066825,11.997642440094744
1,94,-40.156618,11.89991965166086
1,95,-40.38573125,11.814940208740545
1,96,-40.618008,11.742324225883516
1,97,-40.85344825,11.681629533753828
1,98,-41.092052,11.632348784051366
1,99,-41.33381925,11.59390664320926
1,100,-41.57875,11.565657078859878
1,101,-41.82684425,11.546880743279182
1,102,-42.078102,11.536782458306554
1,103,-42.332523249999994,11.534488806471522
1,104,-42.590107999999994,11.539045833321772
1,105,-42.85085625,11.549416866233509
1,106,-43.114768,11.564480455253936
1,107,-43.38184325,11.5830284417841
1,108,-43.652082,11.603764161234714
1,109,-43.92548425,11.625300786058226
1,110,-44.20205,11.646159815851654
1,111,-44.481779249999995,11.664769721562372
1,112,-44.764672,11.679464751095333
1,113,-45.05072825,11.688483904002844
1,114,-45.339948,11.689970083177052
1,115,-45.63233125000001,11.68196943189809
1,116,-45.927878,11.662430864845412
1,117,-46.22658825,11.62920580207787
1,118,-46.528462000000005,11.5800481153235
1,119,-46.83349925,11.512614296299937
1,120,-47.1417,11.424463857102404
1,121,-47.45306425,11.313059973197817
2,18,-31.567973999999996,79.04633478516143
2,19,-31.556814125,75.86445773782236
2,20,-31.548775,72.8531190399371
2,21,-31.543856624999993,70.0032431700374
2,22,-31.542059,67.30613516894596
2,23,-31.543382124999997,64.7534695538825
2,24,-31.547826,62.33727948522334
2,25,-31.555390625,60.049946179348176
2,26,-31.566076,57.884188561109674
2,27,-31.579882124999997,55.83305314956487
2,28,-31.596809,53.889904170707034
2,29,-31.616856624999997,52.04841389103705
2,30,-31.640025,50.30255316592007
2,31,-31.666314125,48.64658219676527
2,32,-31.69572400000001,47.07504149117562
2,33,-31.728254624999995,45.58274302031099
2,34,-31.763905999999995,44.1647615678089
2,35,-31.802678124999996,42.816426264709825
2,36,-31.844571,41.53331230493364
2,37,-31.88958462499999,40.31123283595391
2,38,-31.937719,39.14623101942015
2,39,-31.988974125,38.03457225657689
2,40,-32.04334999999999,36.972736573431455
2,41,-32.100846624999996,35.95741116072485
2,42,-32.161464,34.985483063858844
2,43,-32.225202125,34.05403201803954
2,44,-32.292061,33.16032342399705
2,45,-32.362040625,32.30180145974577
2,46,-32.435141,31.47608232395259
2,47,-32.511362125,30.680947606587143
2,48,-32.590704,29.91433778262995
2,49,-32.673166625,29.17434582472236
2,50,-32.75875,28.459210930748377
2,51,-32.84745412499999,27.767312362444123
2,52,-32.939279,27.09716339124045
2,53,-33.034224625,26.447405347651845
2,54,-33.132290999999995,25.816801770636
2,55,-33.233478125,25.20423265345584
2,56,-33.337786,24.608688782693054
2,57,-33.445214625,24.029266167168736
2,58,-33.555763999999996,23.46516055364597
2,59,-33.669434124999995,22.915662026301284
2,60,-33.786224999999995,22.380149687068705
2,61,-33.906136624999995,21.858086414080866
2,62,-34.029168999999996,21.349013695544738
2,63,-34.155322125,20.852546536517472
2,64,-34.28459599999999,20.36836843616415
2,65,-34.416990625,19.89622643320488
2,66,-34.552505999999994,19.435926217385383
2,67,-34.691142125,18.987327304931135
2,68,-34.832899,18.55033827607101
2,69,-34.977776625,18.124912072854123
2,70,-35.125775,17.711041355607257
2,71,-35.276894125,17.30875391652247
2,72,-35.431134,16.918108148996147
2,73,-35.588494624999996,16.539188571482107
2,74,-35.748976,16.172101404757875
