x,under_y,theta,distance
0,17,-32.44752187500001,78.18512362997474
0,18,-32.432849999999995,75.69581658403816
0,19,-32.421384375,73.05850218992175
0,20,-32.413125,70.3293561116928
0,21,-32.40807187499999,67.56689024727287
0,22,-32.406225,64.82770121853294
0,23,-32.407584375,62.16316955547275
0,24,-32.412150000000004,59.61709605913104
0,25,-32.419921875,57.22421287755908
0,26,-32.4309,55.00947354744615
0,27,-32.445084375,52.98800564567985
0,28,-32.462475000000005,51.165601186561005
0,29,-32.483071875,49.53961993019523
0,30,-32.506875,48.10018546144904
0,31,-32.533884375,46.83156328659
0,32,-32.5641,45.71362438063563
0,33,-32.597521875,44.72331032912673
0,34,-32.63415,43.8360315040821
0,35,-32.673984374999996,43.026944980132
0,36,-32.71702500000001,42.272073097633736
0,37,-32.763271874999994,41.54923639457168
0,38,-32.812725,40.838787265228646
0,39,-32.865384375,40.12413977842273
0,40,-32.92124999999999,39.392102383183854
0,41,-32.980321875,38.63302492361011
0,42,-33.0426,37.84077725570144
0,43,-33.108084375000004,37.01258381466808
0,44,-33.176775,36.148736618565934
0,45,-33.248671875,35.25221452872695
0,46,-33.323775000000005,34.32823360722007
0,47,-33.402084375,33.38375666003169
0,48,-33.4836,32.42698325972499
0,49,-33.568321875,31.466845356034653
0,50,-33.65625,30.512524403738396
0,51,-33.747384374999996,29.573010213779824
0,52,-33.841725,28.65671106438579
0,53,-33.939271874999996,27.77112726132812
0,54,-34.040025,26.92259372036399
0,55,-34.143984374999995,26.11609449248256
0,56,-34.251149999999996,25.35515057306232
0,57,-34.361521875,24.641778491544144
0,58,-34.4751,23.97651344548406
0,59,-34.591884375,23.358493380355256
0,60,-34.711875,22.78559256355705
0,61,-34.835071875,22.254597567128556
0,62,-34.961475,21.76141383509578
0,63,-35.091084375,21.301294200229066
0,64,-35.2239,20.869076542662995
0,65,-35.359921875,20.459422521399873
0,66,-35.49914999999999,20.06704632203521
0,67,-35.641584375,19.68692623834552
0,68,-35.787225,19.314490772890466
0,69,-35.936071874999996,18.945774056124108
0,70,-36.088125,18.57753586034717
0,71,-36.243384375,18.207343511390107
0,72,-36.40185,17.833614580439942
0,73,-36.563521875,17.455620803045647
0,74,-36.7284,17.073455073046105
0,75,-36.89648437499999,16.687964774774926
0,76,-37.067775000000005,16.30065619211139
0,77,-37.242271875,15.91357547800483
0,78,-37.419975,15.529172361003774
0,79,-37.60088437499999,15.15015337626876
0,80,-37.785,14.77933207910003
0,81,-37.972321875,14.41948277513923
0,82,-38.16285,14.073204442965404
0,83,-38.356584375,13.742801204430478
0,84,-38.553525,13.430184431480782
0,85,-38.753671874999995,13.136799831050055
0,86,-38.957024999999994,12.863583169984238
0,87,-39.163584375,12.610945642101186
0,88,-39.373349999999995,12.378787919985667
0,89,-39.586321875,12.166542373704331
0,90,-39.802499999999995,11.97323877747597
0,91,-40.021884375,11.79759009938182
0,92,-40.244475,11.638091169404404
0,93,-40.470271875,11.49312476079406
0,94,-40.699275,11.36106640856208
0,95,-40.931484375,11.240381859349624
0,96,-41.1669,11.129708521174804
0,97,-41.405521875,11.027915962147134
0,98,-41.64735,10.934138380097764
0,99,-41.892384375,10.847778789805789
0,100,-42.14062499999999,10.768481962489505
0,101,-42.392071875,10.69607751827182
0,102,-42.646725,10.630500190066712
0,103,-42.90458437499999,10.5716943667406
0,104,-43.16564999999999,10.51950966577472
0,105,-43.429921875,10.473610334205048
0,106,-43.697399999999995,10.43339692811908
0,107,-43.968084375,10.397973887729066
0,108,-44.241975,10.366153590487857
0,109,-44.519071874999995,10.33652626733722
0,110,-44.799375,10.307573191928284
0,111,-45.082884375,10.277822367953677
0,112,-45.3696,10.24602162103595
0,113,-45.659521875,10.211244456576722
0,114,-45.95265,10.172883622455018
0,115,-46.248984375,10.130362145709412
0,116,-46.548525,10.082424990939517
0,117,-46.851271874999995,10.025752417849915
0,118,-47.157225,9.952583901690858
0,119,-47.466384375,9.846999995517152
0,120,-47.77875,9.679346911715882
0,121,-48.094321875,9.398213736819642
1,16,-32.032528,79.89602615694942
1,17,-32.014888250000006,77.61665501456203
1,18,-32.000412,75.15444923202934
1,19,-31.98909925,72.55672427277507
1,20,-31.98095,69.87748924653472
1,21,-31.975964249999993,67.17257174115123
1,22,-31.974142,64.49561037878932
1,23,-31.97548325,61.8949689642662
1,24,-31.979988,59.411552138733285
1,25,-31.98765625,57.0774586276287
1,26,-31.998488,54.91537643234672
1,27,-32.012483249999995,52.93860503296794
1,28,-32.029642,51.15158403675498
1,29,-32.04996425,49.55080648522319
1,30,-32.07345,48.12600129108371
1,31,-32.10009925,46.861479587959664
1,32,-32.129912000000004,45.73755083243789
1,33,-32.162888249999995,44.73193147044124
1,34,-32.199028,43.8210792170042
1,35,-32.23833125,42.981405072020905
1,36,-32.280798000000004,42.1903254763359
1,37,-32.32642825,41.42713140706958
1,38,-32.375222,40.67366360883655
1,39,-32.42717925,39.91478904347362
1,40,-32.482299999999995,39.13868807266893
1,41,-32.54058425,38.33696358661594
1,42,-32.602032,37.50459078710021
1,43,-32.66664325000001,36.63973020772876
1,44,-32.734418,35.743427239465134
1,45,-32.80535625,34.81922634701671
1,46,-32.87945800000001,33.872722439574616
1,47,-32.95672325,32.911077477144616
1,48,-33.037152,31.942523025082963
1,49,-33.12074425,30.975872062253373
1,50,-33.2075,30.020056404280083
1,51,-33.29741925,29.083706729220765
1,52,-33.390502,28.174785919594186
1,53,-33.48674825,27.300286047267335
1,54,-33.586158,26.46599432091655
1,55,-33.68873125,25.67632880072536
