under_y,theta,distance
30,-31.640025,50.10916
31,-31.666314125,48.62522
32,-31.69572400000001,47.141136
33,-31.728254624999995,45.742607
34,-31.763905999999995,44.378857
35,-31.802678125,43.334637
36,-31.844571,42.353973
37,-31.889584624999998,41.443993
38,-31.937719,40.521927
39,-31.988974125,39.634464
40,-32.04334999999999,38.71653
41,-32.100846625,37.768185
42,-32.161464,36.812973
43,-32.225202125,35.828514
44,-32.292061,34.869514
45,-32.362040625,33.891037
46,-32.435141,32.940918
47,-32.511362125,32.09269
48,-32.590704,31.225597
49,-32.673166625,30.36758
50,-32.75875,29.497229
51,-32.84745412499999,28.640163
52,-32.939279,27.798765
53,-33.034224625,26.961378
54,-33.132290999999995,26.219168
55,-33.233478125,25.520483
56,-33.337786,24.829138
57,-33.445214625,24.268627
58,-33.555764,23.784573
59,-33.669434124999995,23.30257
60,-33.786224999999995,22.811596
61,-33.906136624999995,22.345713
62,-34.029169,21.897528
63,-34.155322125,21.522818
64,-34.28459599999999,21.138689
65,-34.416990625,20.735563
66,-34.552505999999994,20.316343
67,-34.691142125,19.88503
68,-34.832899,19.455477
69,-34.977776625,19.038969
70,-35.125775,18.62469
71,-35.276894125,18.212637
72,-35.431134,17.819723
73,-35.588494625,17.437645
74,-35.748976,17.087294
75,-35.912578125,16.727362
76,-36.079301,16.342031
77,-36.249144625,15.946541
78,-36.422109,15.58098
79,-36.59819412499999,15.219254
80,-36.7774,14.865471
81,-36.959726625,14.540251
82,-37.145174,14.238424
83,-37.33374212499999,13.946056
84,-37.525431,13.655939
85,-37.720240625,13.368498
86,-37.918171,13.120161
87,-38.119222125,12.897156
88,-38.32339399999999,12.676649
89,-38.530686625,12.465289
90,-38.7411,12.274633
91,-38.954634125,12.086886
92,-39.171289,11.901644
93,-39.391064625,11.722906
94,-39.613961,11.551653
95,-39.839978125,11.36891
96,-40.069116,11.183994
97,-40.301374625,11.001747
98,-40.536754,10.824568
99,-40.775254125,10.659676
100,-41.01687499999999,10.500256
101,-41.261616625,10.347449
102,-41.509479,10.203741
103,-41.760462125,10.062667
104,-42.014566,9.924216
105,-42.271790625,9.788403
106,-42.532136,9.655214
107,-42.795602125,9.524655
108,-43.062189,9.396346
109,-43.331896625,9.267502
110,-43.604725,9.141306
111,-43.880674125,9.017754
112,-44.159744,8.9007225
113,-44.441934625,8.786779
114,-44.727246,8.675468
115,-45.015678125,8.5667925
116,-45.307231,8.460742
117,-45.601904625,8.357326
118,-45.899699,8.256542
119,-46.200614125,8.158391
120,-46.50465,8.062864
121,-46.811806625,7.9699764
0,-31.86,126.23463
1,-31.793589000000004,122.12053
2,-31.730255999999997,118.008644
3,-31.670001,113.903275
4,-31.612824,109.82354
5,-31.558725,105.82567
6,-31.507704,102.01143
7,-31.459761,98.27298
8,-31.414896,94.40591
9,-31.373109,90.32988
10,-31.334399999999995,87.86301
11,-31.298769,86.405045
12,-31.266216,85.05996
13,-31.236741,83.68425
14,-31.210344,82.30655
15,-31.187024999999995,80.91692
16,-31.166784,79.50598
17,-31.149621000000007,78.07561
18,-31.135536,76.149414
19,-31.124529000000003,73.10708
20,-31.1166,68.63039
21,-31.111748999999996,65.396576
22,-31.109976,62.43479
23,-31.111281,60.56687
24,-31.115664,58.715103
25,-31.123125,56.984127
26,-31.133664,55.559036
27,-31.147281,54.212624
28,-31.163976,52.824116
29,-31.183749,51.433258
30,-31.2066,49.947006
31,-31.232529,48.461605
32,-31.261536000000007,46.895557
33,-31.293620999999995,45.41239
34,-31.328784,44.273483
35,-31.367025,43.220284
36,-31.408344000000003,42.237465
37,-31.452741,41.325237
38,-31.500216,40.409027
39,-31.550769,39.510143
40,-31.604399999999995,38.57351
41,-31.661109,37.60835
42,-31.720896000000003,36.625595
43,-31.783761000000005,35.600204
44,-31.849704,34.62326
45,-31.918725,33.605793
46,-31.990824000000003,32.604393
47,-32.066001,31.7156
48,-32.144256,30.866884
49,-32.225589,30.025223
50,-32.31,29.176851
51,-32.397489,28.317371
52,-32.488056,27.475843
53,-32.581701,26.668467
54,-32.678424,25.91833
55,-32.778225,25.17738
56,-32.881104,24.568811
57,-32.987061000000004,24.01829
58,-33.096096,23.501078
59,-33.208209000000004,23.001091
60,-33.3234,22.504877
61,-33.441669,22.03601
62,-33.563016,21.599838
63,-33.687441,21.201513
64,-33.814944,20.804451
65,-33.945525,20.406038
66,-34.079184,19.985529
67,-34.215921,19.552889
68,-34.355736,19.114967
69,-34.498629,18.697046
70,-34.644600000000004,18.28132
71,-34.793649,17.878
72,-34.945776,17.482668
73,-35.100981,17.099493
74,-35.259264,16.74263
75,-35.420624999999994,16.368841
76,-35.585064,15.970392
77,-35.752581,15.573151
78,-35.923176,15.202948
79,-36.096849,14.839392
80,-36.2736,14.5099125
81,-36.453429,14.183168
82,-36.636336,13.871172
83,-36.822321,13.576937
84,-37.011384,13.276122
85,-37.203525,12.974226
86,-37.398744,12.708918
87,-37.597041,12.478758
88,-37.798416,12.256013
89,-38.002869,12.041882
90,-38.2104,11.849328
91,-38.421009000000005,11.659237
92,-38.634696000000005,11.471615
93,-38.851461,11.285312
94,-39.071304,11.092447
95,-39.294225,10.902215
96,-39.520224000000006,10.714616
97,-39.749301,10.529649
98,-39.981456,10.352089
99,-40.216689,10.184416
100,-40.455,10.023674
101,-40.696389,9.871078
102,-40.940856,9.724506
103,-41.188401,9.580533
104,-41.439024,9.43915
105,-41.692725,9.3003645
106,-41.949504,9.164172
107,-42.209361,9.03057
108,-42.472296,8.896199
109,-42.738309,8.764223
110,-43.0074,8.634856
111,-43.279569,8.510408
112,-43.554816,8.390616
113,-43.833141,8.273412
114,-44.114544,8.158807
115,-44.399025,8.046793
116,-44.686584,7.937376
117,-44.977221,7.830558
118,-45.270936,7.7263317
119,-45.567729,7.6247025
120,-45.8676,7.52567
121,-46.170549,7.429233
0,-31.4175,125.29884
1,-31.352011375,121.18927
2,-31.289557999999992,117.079254
3,-31.230139874999992,112.97327
4,-31.173757,108.88132
5,-31.120409375,104.90763
6,-31.070096999999997,101.13765
7,-31.022819875,97.346306
8,-30.978578,93.47577
9,-30.937371375,89.39333
10,-30.899199999999997,87.53479
11,-30.864063875,86.069725
12,-30.831963,84.72499
13,-30.802897375,83.3826
14,-30.776867,82.02255
15,-30.753871874999994,80.65126
16,-30.733912,79.25369
17,-30.716987375,77.841965
18,-30.703098,75.857315
19,-30.692243875,72.732185
20,-30.684425,68.124695
21,-30.679641374999992,65.070694
22,-30.677893,62.27685
23,-30.679179875,60.4467
24,-30.683502,58.59508
25,-30.690859374999995,56.891075
26,-30.701252,55.444416
27,-30.714679874999995,54.105053
28,-30.731143,52.715786
29,-30.750641375,51.27021
30,-30.773175,49.751266
31,-30.798743875,48.181305
32,-30.827348000000004,46.6043
33,-30.858987374999995,45.256134
34,-30.893662,44.168114
35,-30.931371875,43.10566
36,-30.972117,42.122776
37,-31.015897374999994,41.206482
38,-31.062712999999995,40.287823
39,-31.112563875,39.384712
40,-31.165449999999996,38.412727
41,-31.221371375,37.432518
42,-31.280328,36.391724
43,-31.342319875,35.365555
44,-31.407347,34.28838
45,-31.475409374999995,33.229904
46,-31.546507,32.230335
47,-31.620639875,31.346516
48,-31.697808,30.503664
49,-31.778011375,29.664602
50,-31.86125,28.83858
51,-31.947523874999995,27.997936
52,-32.036832999999994,27.132643
53,-32.129177375,26.308508
54,-32.224557,25.526281
55,-32.32297187499999,24.893827
56,-32.424422,24.29351
57,-32.528907375,23.74404
58,-32.636428,23.224157
59,-32.746983875,22.711508
60,-32.860575,22.206587
61,-32.977201375,21.73049
62,-33.096863,21.28721
63,-33.219559874999995,20.864504
64,-33.34529199999999,20.470215
65,-33.474059375,20.07051
66,-33.605861999999995,19.654715
67,-33.740699875,19.218237
68,-33.878573,18.777435
69,-34.019481375,18.355124
70,-34.163425,17.941301
71,-34.310403875,17.54336
72,-34.460418,17.139355
73,-34.613467375,16.768034
74,-34.769552,16.399107
75,-34.92867187499999,16.000023
76,-35.090827000000004,15.598753
77,-35.256017375,15.199762
78,-35.424243,14.824917
79,-35.59550387499999,14.485287
80,-35.7698,14.154593
81,-35.947131375,13.82609
82,-36.127498,13.5014
83,-36.310899875,13.192881
84,-36.497337,12.886666
85,-36.686809375,12.582748
86,-36.87931699999999,12.304012
87,-37.074859875,12.060361
88,-37.27343799999999,11.835375
89,-37.47505137499999,11.618885
90,-37.6797,11.424022
91,-37.887383875,11.230906
92,-38.098103,11.021948
93,-38.311857375,10.823876
94,-38.528647,10.628403
95,-38.74847187499999,10.435521
96,-38.971332,10.245241
97,-39.197227375,10.05755
98,-39.426158,9.879606
99,-39.658123875,9.709864
100,-39.893125,9.5470915
101,-40.131161375,9.394704
102,-40.372233,9.245273
103,-40.616339875,9.098401
104,-40.86348199999999,8.954083
105,-41.113659375,8.812328
106,-41.366872,8.673128
107,-41.623119875,8.533733
108,-41.882403,8.396051
109,-42.144721375,8.260942
110,-42.410075,8.129106
111,-42.67846387499999,8.003524
112,-42.949888,7.8805037
113,-43.224347375,7.760041
114,-43.501842,7.642138
115,-43.782371875,7.526799
116,-44.06593699999999,7.414014
117,-44.352537375,7.3037887
118,-44.642173,7.196125
119,-44.93484387499999,7.0910225
120,-45.23055,6.9884763
121,-45.529291375,6.8884883
0,-30.975,124.36307
1,-30.910433750000003,120.25576
2,-30.848859999999995,116.14987
3,-30.790278749999995,112.04297
4,-30.73469,107.94474
5,-30.68209375,104.03864
6,-30.63249,100.273926
7,-30.58587875,96.414825
8,-30.54226,92.545616
9,-30.50163375,89.05715
10,-30.463999999999995,87.199036
11,-30.42935875,85.734406
12,-30.39771,84.390015
13,-30.36905375,83.04793
14,-30.34339,81.708176
15,-30.32071875,80.35362
16,-30.30104,78.993774
17,-30.284353750000005,77.59256
18,-30.27066,75.551834
19,-30.259958750000003,72.28656
20,-30.25225,67.69971
21,-30.247533749999995,64.74481
22,-30.24581,62.155357
23,-30.24707875,60.326534
24,-30.251340000000003,58.474895
25,-30.25859375,56.765366
26,-30.26884,55.325592
27,-30.28207875,53.981583
28,-30.29831,52.582222
29,-30.31753375,51.041664
30,-30.33975,49.46953
31,-30.36495875,47.899338
32,-30.393160000000005,46.35518
33,-30.424353749999995,45.15119
34,-30.45854,44.065487
35,-30.49571875,42.997353
36,-30.53589,42.00809
37,-30.57905375,41.087727
38,-30.62521,40.16662
39,-30.67435875,39.242157
40,-30.726499999999994,38.223846
41,-30.78163375,37.206722
42,-30.83976,36.124012
43,-30.900878750000004,35.010918
44,-30.96499,33.897507
45,-31.03209375,32.84142
46,-31.10219,31.86114
47,-31.17527875,30.985714
48,-31.25136,30.14044
49,-31.33043375,29.303978
50,-31.4125,28.448412
51,-31.49755875,27.584538
52,-31.58561,26.713839
53,-31.67665375,25.896275
54,-31.77069,25.20725
55,-31.867718749999995,24.615026
56,-31.96774,24.02403
57,-32.07075375,23.472738
58,-32.17676,22.958115
59,-32.28575875,22.435743
60,-32.397749999999995,21.915215
61,-32.512733749999995,21.415754
62,-32.63071,20.960493
63,-32.75167875,20.537231
64,-32.87564,20.135681
65,-33.00259375,19.734789
66,-33.13253999999999,19.319683
67,-33.26547875,18.8826
68,-33.40141,18.440426
69,-33.540333749999995,18.013199
70,-33.68225,17.608095
71,-33.82715875,17.205412
72,-33.97506,16.801638
73,-34.12595375,16.43359
74,-34.27984,16.04446
75,-34.43671875,15.646652
76,-34.596590000000006,15.269402
77,-34.75945375,14.892836
78,-34.92531,14.5636015
79,-35.09415874999999,14.244595
80,-35.266000000000005,13.932196
81,-35.44083375,13.617622
82,-35.61866,13.294295
83,-35.79947875,12.99993
84,-35.98329,12.706118
85,-36.17009375,12.415371
86,-36.35988999999999,12.143424
87,-36.55267875,11.905331
88,-36.74846,11.686046
89,-36.94723375,11.479536
90,-37.149,11.284155
91,-37.35375875,11.071743
92,-37.561510000000006,10.8642845
93,-37.77225375,10.662558
94,-37.98599,10.461436
95,-38.20271875,10.260922
96,-38.42244,10.061011
97,-38.64515375,9.861708
98,-38.87086,9.674821
99,-39.09955875,9.4908695
100,-39.33125,9.3130455
101,-39.56593375,9.1413765
102,-39.80361,8.970259
103,-40.04427875,8.799694
104,-40.28793999999999,8.629679
105,-40.53459375,8.4602165
106,-40.78424,8.289219
107,-41.03687875,8.117226
108,-41.29251,7.945801
109,-41.55113375,7.774942
110,-41.81275,7.625408
111,-42.07735875,7.4966383
112,-42.34496,7.3703957
113,-42.61555375,7.246673
114,-42.88914,7.125475
115,-43.16571875,7.0067997
116,-43.44529,6.890649
117,-43.72785375,6.7770214
118,-44.01341,6.665914
119,-44.30195875,6.557337
120,-44.5935,6.4512773
121,-44.88803375,6.3477116
0,-30.5325,123.42729
1,-30.46885612500001,119.324974
2,-30.408161999999997,115.23136
3,-30.350417624999995,111.13502
4,-30.295623000000003,107.04471
5,-30.243778125,103.17352
6,-30.194883,99.41023
7,-30.148937625,95.483345
8,-30.105942,91.58608
9,-30.065896125,88.72595
10,-30.0288,86.863266
11,-29.994653625,85.39511
12,-29.963457,84.05504
13,-29.935210125,82.71327
14,-29.909913,81.373795
15,-29.887565625,80.036575
16,-29.868168,78.68724
17,-29.851720125000007,77.31956
18,-29.838222,75.22386
19,-29.827673625000003,71.79762
20,-29.820075,67.3777
21,-29.815426124999995,64.41893
22,-29.813727,62.033855
23,-29.814977625,60.20636
24,-29.819178000000004,58.35471
25,-29.826328125,56.638687
26,-29.836428,55.17479
27,-29.849477625,53.812973
28,-29.865477,52.334393
29,-29.884426125,50.760136
30,-29.906325,49.18779
31,-29.931173625,47.55077
32,-29.958972000000006,46.26159
33,-29.989720125,45.055428
34,-30.023418,43.96245
35,-30.060065625,42.89299
36,-30.099663000000007,41.893402
37,-30.142210125,40.967873
38,-30.187707,40.021587
39,-30.236153625,39.03988
40,-30.28755,37.98009
41,-30.341896125,36.89311
42,-30.399192000000003,35.78531
43,-30.459437625000007,34.634624
44,-30.522633,33.51087
45,-30.588778125,32.456932
46,-30.657873,31.500471
47,-30.729917625,30.625671
48,-30.804912,29.733788
49,-30.882856125,28.854027
50,-30.96375,27.981459
51,-31.047593625,27.108418
52,-31.134387,26.256323
53,-31.224130125,25.56656
54,-31.316823,24.933235
55,-31.412465625,24.335976
56,-31.511058,23.763968
57,-31.612600125000004,23.215185
58,-31.717092,22.688581
59,-31.824533625,22.152678
60,-31.934925,21.623873
61,-32.048266125,21.10567
62,-32.164557,20.629705
63,-32.283797625,20.210238
64,-32.405988,19.797394
65,-32.531128125,19.39442
66,-32.659218,18.977482
67,-32.790257625,18.54965
68,-32.924247,18.143534
69,-33.061186125,17.752214
70,-33.201075,17.38312
71,-33.343913625,17.001856
72,-33.489702,16.628292
73,-33.638440125,16.289597
74,-33.790128,15.923077
75,-33.944765624999995,15.534014
76,-34.102353,15.1562395
77,-34.262890125000006,14.805519
78,-34.426377,14.478922
79,-34.592813625,14.159924
80,-34.76220000000001,13.847109
81,-34.934536125,13.523901
82,-35.109822,13.200105
83,-35.288057625,12.903686
84,-35.469243,12.609379
85,-35.653378125,12.3221035
86,-35.840463,12.049666
87,-36.030497625,11.810719
88,-36.223482,11.59044
89,-36.419416125,11.387289
90,-36.6183,11.173655
91,-36.820133625,10.960635
92,-37.024917,10.755735
93,-37.232650125,10.5534
94,-37.443333,10.351663
95,-37.656965625,10.15052
96,-37.87354800000001,9.949976
97,-38.093080125,9.755327
98,-38.315562,9.56799
99,-38.540993625,9.384895
100,-38.769375,9.209477
101,-39.000706125,9.0371895
102,-39.234987,8.865447
103,-39.472217625,8.694248
104,-39.71239799999999,8.523592
105,-39.955528125,8.35211
106,-40.20160799999999,8.178876
107,-40.450637625000006,8.006199
108,-40.702617,7.8340826
109,-40.957546125,7.6642942
110,-41.215425,7.4977245
111,-41.476253625,7.331698
112,-41.740032,7.1662188
113,-42.006760125,7.001282
114,-42.276438,6.8368917
115,-42.549065625,6.673048
116,-42.824643,6.5097475
117,-43.103170125,6.346992
118,-43.384647,6.1847825
119,-43.669073625,6.023654
120,-43.95645,5.914035
121,-44.246776125,5.806857
0,-30.09,122.51224
1,-30.0272785,118.419975
2,-29.967463999999996,114.32771
3,-29.910556499999995,110.23337
4,-29.856556,106.144684
5,-29.8054625,102.30842
6,-29.757275999999997,98.54651
7,-29.7119965,94.55188
8,-29.669624,90.54045
9,-29.6301585,88.41596
10,-29.593599999999995,86.5275
11,-29.5599485,85.04967
12,-29.529204,83.72007
13,-29.5013665,82.378624
14,-29.476436,81.03943
15,-29.4544125,79.70246
16,-29.435296,78.367744
17,-29.4190865,77.023315
18,-29.405784,74.862686
19,-29.3953885,71.234406
20,-29.3879,67.0534
21,-29.383318499999994,64.093056
22,-29.381644,61.912354
23,-29.3828765,60.08619
24,-29.387016,58.234524
25,-29.3940625,56.498306
26,-29.404016,54.9639
27,-29.4168765,53.5257
28,-29.432644,52.03235
29,-29.4513185,50.42832
30,-29.4729,48.77707
31,-29.4973885,47.396187
32,-29.524784000000004,46.14025
33,-29.555086499999994,44.959663
34,-29.588296,43.858208
35,-29.6244125,42.784245
36,-29.663436000000004,41.75762
37,-29.705366499999997,40.793816
38,-29.750204,39.782875
39,-29.7979485,38.739975
40,-29.848599999999998,37.66721
41,-29.9021585,36.581142
42,-29.958624,35.412712
43,-30.0179965,34.258327
44,-30.080276,33.131413
45,-30.1454625,32.076237
46,-30.213556,31.081442
47,-30.2845565,30.16422
48,-30.358464,29.265524
49,-30.4352785,28.37989
50,-30.515,27.470747
51,-30.597628499999995,26.574976
52,-30.683164,25.876749
53,-30.7716065,25.28206
54,-30.862956,24.662762
55,-30.9572125,24.07223
56,-31.054376,23.50314
57,-31.1544465,22.957628
58,-31.257424,22.404665
59,-31.3633085,21.857908
60,-31.4721,21.327688
61,-31.5837985,20.811655
62,-31.698404,20.332766
63,-31.8159165,19.955465
64,-31.936336,19.58336
65,-32.0596625,19.212442
66,-32.18589599999999,18.831976
67,-32.3150365,18.447115
68,-32.447084,18.044338
69,-32.5820385,17.654173
70,-32.7199,17.28211
71,-32.8606685,16.896973
72,-33.004344,16.52393
73,-33.1509265,16.178232
74,-33.300416,15.809501
75,-33.45281249999999,15.421374
76,-33.608116,15.068176
77,-33.7663265,14.719323
78,-33.927444,14.394243
79,-34.09146849999999,14.075253
80,-34.2584,13.754984
81,-34.4282385,13.430181
82,-34.600984,13.105913
83,-34.776636499999995,12.807436
84,-34.955195999999994,12.512641
85,-35.1366625,12.228835
86,-35.32103599999999,11.955909
87,-35.5083165,11.715683
88,-35.69850399999999,11.493966
89,-35.89159849999999,11.27739
90,-36.0876,11.063155
91,-36.2865085,10.850719
92,-36.488324000000006,10.647188
93,-36.6930465,10.4442425
94,-36.900676,10.241888
95,-37.1112125,10.04012
96,-37.324656,9.83894
97,-37.5410065,9.649118
98,-37.760264,9.461191
99,-37.9824285,9.279349
100,-38.2075,9.105909
101,-38.4354785,8.933005
102,-38.666364,8.760635
103,-38.9001565,8.588802
104,-39.136856,8.416903
105,-39.3764625,8.242442
106,-39.61897599999999,8.068534
107,-39.8643965,7.895175
108,-40.112724,7.7224097
109,-40.3639585,7.554611
110,-40.6181,7.3873496
111,-40.8751485,7.220626
112,-41.135104,7.0544395
113,-41.3979665,6.888789
114,-41.663736,6.7236767
115,-41.9324125,6.5591025
116,-42.203996,6.3950634
117,-42.4784865,6.2315626
118,-42.755884,6.068598
119,-43.0361885,5.906108
120,-43.3194,5.744122
121,-43.6055185,5.582676
0,-29.6475,121.60536
1,-29.585700875000004,117.51205
2,-29.526765999999995,113.42141
3,-29.470695374999995,109.33172
4,-29.417489,105.26259
5,-29.367146875,101.44331
6,-29.319669,97.682785
7,-29.275055375,93.6204
8,-29.233306,90.1568
9,-29.194420875,88.105965
10,-29.1584,86.19173
11,-29.125243375,84.70423
12,-29.094951,83.37984
13,-29.067522875,82.04397
14,-29.042959,80.70505
15,-29.021259375,79.36833
16,-29.002424,78.03384
17,-28.986452875000005,76.701546
18,-28.973346,74.48528
19,-28.963103375000003,70.64658
20,-28.955725,66.686775
21,-28.951210874999997,63.7528
22,-28.949561,61.790855
23,-28.950775375,59.966026
