degree,val_mae
1,9.735646278612837
2,4.777861816327555
3,2.562685273623158
4,1.825273245736886
5,3.539383755678564
6,16.3722001283457
7,57.20594591700437
8,170.14632144947817
9,3642.950822536102
10,146144.43056090243
11,237339.2589935344
12,84171001.32753931
13,1105007851.1277187
14,141590037.4011592
15,91559281.64936975
16,96527355.71333244
17,127808708.79054493
18,188853884.67970988
19,247116137.95492095
20,336154636.70292664
